Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,NVDA,TSLA,V,WMT
2016-01-04,23.803159713745117,31.84950065612793,37.745628356933594,77.21995544433594,49.10585403442383,48.152278900146484,0.7896761298179626,14.894000053405762,70.8418197631836,17.14967155456543
2016-01-05,23.20667266845703,31.68950080871582,37.84950637817383,77.542724609375,49.19076919555664,48.371971130371094,0.802361786365509,14.895333290100098,71.375244140625,17.55706214904785
2016-01-06,22.752521514892578,31.63249969482422,37.74015808105469,77.1507568359375,48.48066329956055,47.4932861328125,0.7691842913627625,14.602666854858398,70.43939971923828,17.73285675048828
2016-01-07,21.79227066040039,30.39699935913086,36.82912063598633,76.2516098022461,46.52012634277344,45.84133529663086,0.7386900186538696,14.376667022705078,69.05438995361328,18.145837783813477
2016-01-08,21.907493591308594,30.352500915527344,36.327632904052734,75.43699645996094,45.47810745239258,45.98192596435547,0.7228332161903381,14.066666603088379,68.20280456542969,17.730073928833008
2016-01-11,22.262222290039062,30.886999130249023,36.43498611450195,74.98357391357422,45.408653259277344,45.955562591552734,0.7240529656410217,13.856666564941406,69.17603302001953,17.91982078552246
2016-01-12,22.585325241088867,30.894500732421875,37.044830322265625,75.49848175048828,45.50897979736328,46.37733459472656,0.7362505197525024,13.998000144958496,69.962158203125,17.75238609313965
2016-01-13,22.00465202331543,29.090499877929688,35.764007568359375,74.56090545654297,44.258575439453125,45.37562942504883,0.7138068079948425,13.354000091552734,68.4086685180664,17.278030395507812
2016-01-14,22.48590850830078,29.649999618530273,36.35148620605469,75.99798583984375,44.92236328125,46.66730499267578,0.6994137167930603,13.745332717895508,69.06375122070312,17.59613037109375
2016-01-15,21.945903778076172,28.509000778198242,35.312721252441406,74.54552459716797,44.02701950073242,44.80447769165039,0.6613568067550659,13.666000366210938,67.2201919555664,17.280813217163086
2016-01-19,21.83971405029297,28.724000930786133,35.73965835571289,74.92977905273438,44.00386047363281,44.42665100097656,0.6667237281799316,13.64799976348877,66.80840301513672,17.456615447998047
2016-01-20,21.869081497192383,28.588499069213867,35.71381759643555,73.58486938476562,42.84606170654297,44.62873458862305,0.6703830361366272,13.24666690826416,66.14397430419922,16.976665496826172
2016-01-21,21.75837516784668,28.750999450683594,36.11689376831055,73.73089599609375,42.64537811279297,44.35634231567383,0.6781896352767944,13.33133316040039,66.96751403808594,17.266868591308594
2016-01-22,22.91520118713379,29.819000244140625,37.0507926940918,74.35338592529297,43.95754623413086,45.94677734375,0.6940467357635498,13.50333309173584,68.0343246459961,17.492891311645508
2016-01-25,22.46784019470215,29.826499938964844,36.46232604980469,74.08441925048828,42.96184539794922,45.50743103027344,0.6933145523071289,13.092000007629395,67.13594818115234,17.704957962036133
2016-01-26,22.592105865478516,30.0625,36.470767974853516,77.75789642333984,44.057884216308594,45.84133529663086,0.7001453042030334,12.904000282287598,67.2669677734375,17.858436584472656
2016-01-27,21.107656478881836,29.167499542236328,35.66510772705078,78.51105499267578,44.02701950073242,45.00658416748047,0.6918509602546692,12.538000106811523,66.35922241210938,17.84447479248047
2016-01-28,21.25904083251953,31.767499923706055,37.19194793701172,78.5955810546875,44.21226119995117,45.744686126708984,0.684288501739502,12.646666526794434,64.880615234375,17.91982078552246
2016-01-29,21.99335289001465,29.350000381469727,37.84055709838867,80.26323699951172,45.92579650878906,48.40711975097656,0.7145386934280396,12.74666690826416,69.70948028564453,18.5169620513916
2016-02-01,21.787748336791992,28.74049949645996,38.30875015258789,80.2094497680664,45.43180465698242,48.073204040527344,0.7147825956344604,13.129332542419434,69.60652160644531,18.835060119628906
2016-02-02,21.34715461730957,27.604999542236328,38.81272506713867,79.47168731689453,44.01929473876953,46.57065963745117,0.6845322847366333,12.185333251953125,68.6894302368164,18.65648078918457
2016-02-03,21.769670486450195,26.553499221801758,37.245628356933594,80.03268432617188,44.3126106262207,45.83254623413086,0.6879478096961975,11.565333366394043,69.60652160644531,18.491846084594727
2016-02-04,21.944591522216797,26.812999725341797,36.283897399902344,79.84825134277344,45.076751708984375,45.691959381103516,0.6881917119026184,11.688667297363281,68.9514389038086,18.53369903564453
2016-02-05,21.358491897583008,25.10650062561035,34.97822189331055,77.26603698730469,44.575035095214844,44.07516098022461,0.6447679996490479,10.84000015258789,66.94877624511719,18.695545196533203
2016-02-08,21.58338737487793,24.405000686645508,34.998104095458984,78.38806915283203,43.64107894897461,43.4161491394043,0.6152498722076416,9.866000175476074,63.420711517333984,18.667638778686523
2016-02-09,21.578847885131836,24.103500366210938,34.842037200927734,78.36500549316406,43.37864685058594,43.30191421508789,0.6218366026878357,9.883333206176758,63.944801330566406,18.363489151000977
2016-02-10,21.415292739868164,24.52400016784668,35.131797790527344,78.18059539794922,42.853782653808594,43.679752349853516,0.6203728318214417,9.57800006866455,65.64798736572266,18.357908248901367
2016-02-11,21.285797119140625,25.19099998474121,35.10744857788086,78.1574935913086,40.96272277832031,43.66218566894531,0.6172013282775879,10.031332969665527,64.0758056640625,18.226760864257812
2016-02-12,21.3516788482666,25.354000091552734,35.133792877197266,78.2497329711914,44.37435531616211,44.37391662597656,0.6276915073394775,10.06933307647705,65.90069580078125,18.46673011779785
2016-02-16,21.953672409057617,26.05500030517578,35.668087005615234,78.63399505615234,45.03814697265625,45.21466827392578,0.6584295034408569,10.344667434692383,66.53702545166016,18.388599395751953
2016-02-17,22.289886474609375,26.704999923706055,36.380313873291016,78.77230834960938,45.362335205078125,46.39171600341797,0.6747743487358093,11.245332717895508,67.54031372070312,18.447200775146484
